trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,load_variables.started,load_variables.stopped,Welcome.started,key_instruct.started,Welcome.stopped,key_instruct.keys,key_instruct.rt,key_instruct.duration,pretest.started,trial_type,sound,fixation.started,sound_1.started,fixation.stopped,image.started,pretest_response.started,pretest.stopped,pretest_response.keys,pretest_response.corr,pretest_response.rt,pretest_response.duration,training.started,text.started,text.stopped,training.stopped,training_block.started,fixation_2.started,fixation_2.stopped,sound_3.started,image_3.started,training_response.started,training_block.stopped,training_response.keys,training_response.corr,training_response.rt,training_response.duration,routine_200_ms_gap.started,polygon.started,routine_200_ms_gap.stopped,feedback.started,text_2.started,image_4.started,feedback.stopped,polygon.stopped,test.started,fixation_posttest.started,sound_2.started,fixation_posttest.stopped,image_2.started,posttest_response.started,test.stopped,posttest_response.keys,posttest_response.corr,posttest_response.rt,posttest_response.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,0.014242667006328702,0.014740541926585138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,532589,001,2024-11-08_19h33.34.043,experiment,2024.1.5,None,2024-11-08 19h33.43.814908 +0530,
,,,,,,,,,,,,,,,,0.014766333973966539,0.03364795900415629,1.521508166915737,space,1.45571987493895,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,532589,001,2024-11-08_19h33.34.043,experiment,2024.1.5,None,2024-11-08 19h33.43.814908 +0530,
0,0,0,0,,,,,,,,,1.5561829169746488,,,,,,,,,,1.5226146669592708,pre_test,stimuli/right30_test_sound,1.5561829169746488,2.024791416657778,2.0527418749406934,2.5189865839201957,2.5189865839201957,2.8608466249424964,z,0,0.3392493750434369,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,532589,001,2024-11-08_19h33.34.043,experiment,2024.1.5,None,2024-11-08 19h33.43.814908 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8614009589655325,2.869599958998151,4.859668374992907,4.853091041906737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,532589,001,2024-11-08_19h33.34.043,experiment,2024.1.5,None,2024-11-08 19h33.43.814908 +0530,
,,,,0,0,0,0,,,,,4.859668374992907,,,,,,,,,,,training,stimuli/right30_white_noise.wav,,,,,,,,,,,,,,,4.8537503340048715,4.859668374992907,5.353019083966501,5.369685750633168,5.852469499921426,5.852469499921426,6.354068749933504,x,0,0.49421749997418374,None,6.354589458904229,6.376414708909579,6.557877708924934,6.557899166946299,6.598275249940343,6.598275249940343,9.058927541947924,,,,,,,,,,,,,532589,001,2024-11-08_19h33.34.043,experiment,2024.1.5,None,2024-11-08 19h33.43.814908 +0530,
,,,,1,0,1,0,,,,,9.070412166998722,,,,,,,,,,,training,stimuli/Left30_white_noise.wav,,,,,,,,,,,,,,,9.059293458936736,9.070412166998722,9.559124249964952,9.55418904166824,10.053642458980903,10.053642458980903,10.606634249910712,z,0,0.5502245839452371,None,10.607326333993115,10.615852791932411,10.804656624910422,10.80468033393845,10.842276333947666,10.842276333947666,13.310843541985378,10.842276333947666,,,,,,,,,,,,532589,001,2024-11-08_19h33.34.043,experiment,2024.1.5,None,2024-11-08 19h33.43.814908 +0530,
,,,,2,0,2,0,,,,,13.319374874932691,,,,,,,,,,,training,stimuli/center_white_noise.wav,,,,,,,,,,,,,,,13.311176458955742,13.319374874932691,13.80816654197406,13.80820025067466,14.304167249938473,14.304167249938473,15.363351834006608,x,0,1.0509464999195188,None,15.363762083929032,15.372115833917633,15.561206041951664,15.56122404197231,15.598061208962463,15.598061208962463,18.07082945900038,15.598061208962463,,,,,,,,,,,,532589,001,2024-11-08_19h33.34.043,experiment,2024.1.5,None,2024-11-08 19h33.43.814908 +0530,
,,,,3,0,3,0,,,,,18.07922424993012,,,,,,,,,,,training,stimuli/Left30_white_noise.wav,,,,,,,,,,,,,,,18.07147141697351,18.07922424993012,18.576751291984692,18.569728208651455,19.059342166990973,19.059342166990973,19.827830499969423,c,0,0.7644363339059055,None,19.82821587496437,19.836912625003606,20.02122995897662,20.02125958399847,20.058062124997377,20.058062124997377,22.53654570900835,20.058062124997377,,,,,,,,,,,,532589,001,2024-11-08_19h33.34.043,experiment,2024.1.5,None,2024-11-08 19h33.43.814908 +0530,
,,,,4,0,4,0,,,,,22.54383974999655,,,,,,,,,,,training,stimuli/Left30_white_noise.wav,,,,,,,,,,,,,,,22.53714841697365,22.54383974999655,23.037210666923784,23.028111041585603,23.528485874994658,23.528485874994658,24.48893504193984,c,0,0.9428268750198185,None,24.48940074990969,24.495302958996035,24.68827716691885,24.688304749899544,24.71745979192201,24.71745979192201,27.194943166919984,24.71745979192201,,,,,,,,,,,,532589,001,2024-11-08_19h33.34.043,experiment,2024.1.5,None,2024-11-08 19h33.43.814908 +0530,
,,,,,,,,0,0,0,0,27.22017024992965,,,,,,,,,,,post_test,stimuli/right90_test_sound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.19580866699107,27.22017024992965,27.69536916661697,27.70847304200288,28.186782333999872,28.186782333999872,29.411112917005084,c,0,1.2185077919857576,None,532589,001,2024-11-08_19h33.34.043,experiment,2024.1.5,None,2024-11-08 19h33.43.814908 +0530,
