trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,load_variables.started,load_variables.stopped,Welcome.started,key_instruct.started,Welcome.stopped,key_instruct.keys,key_instruct.rt,key_instruct.duration,pretest.started,trial_type,sound,sound_1.started,image.started,pretest_response.started,pretest.stopped,pretest_response.keys,pretest_response.corr,pretest_response.rt,pretest_response.duration,training.started,text.started,text.stopped,training.stopped,test.started,sound_2.started,image_2.started,posttest_response.started,test.stopped,posttest_response.keys,posttest_response.corr,posttest_response.rt,posttest_response.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,0.015312125091440976,0.016192250070162117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,864318,001,2024-11-08_10h26.04.388,experiment,2024.1.5,None,2024-11-08 10h26.11.248723 +0530,
,,,,,,,,,,,,0.01621950010303408,0.03316979110240936,1.3492850830079988,space,1.285524750011973,None,,,,,,,,,,,,,,,,,,,,,,,,,864318,001,2024-11-08_10h26.04.388,experiment,2024.1.5,None,2024-11-08 10h26.11.248723 +0530,
0,0,0,0,,,,,1.8145385410171002,,,,,,,,,,1.351729999994859,pre_test,stimuli/right30_test_sound,1.3568173743629206,1.8450894580455497,1.8450894580455497,5.503596541006118,z,0,3.6512189999921247,None,,,,,,,,,,,,,,864318,001,2024-11-08_10h26.04.388,experiment,2024.1.5,None,2024-11-08 10h26.11.248723 +0530,
1,0,1,0,,,,,5.51802525005769,,,,,,,,,,5.505096250097267,pre_test,stimuli/right30_test_sound,5.51718941674723,6.004212458035909,6.004212458035909,6.674658333067782,x,0,0.6651665829122066,None,,,,,,,,,,,,,,864318,001,2024-11-08_10h26.04.388,experiment,2024.1.5,None,2024-11-08 10h26.11.248723 +0530,
2,0,2,0,,,,,6.70044216606766,,,,,,,,,,6.675168541027233,pre_test,stimuli/Left90_test_sound,6.69000129175062,7.169257416040637,7.169257416040637,7.592843750026077,c,0,0.4157451660139486,None,,,,,,,,,,,,,,864318,001,2024-11-08_10h26.04.388,experiment,2024.1.5,None,2024-11-08 10h26.11.248723 +0530,
3,0,3,0,,,,,7.603637458058074,,,,,,,,,,7.593401708058082,pre_test,stimuli/Left30_test_sound,7.607264416703644,8.094031125074252,8.094031125074252,8.302025000099093,v,0,0.1988160409964621,None,,,,,,,,,,,,,,864318,001,2024-11-08_10h26.04.388,experiment,2024.1.5,None,2024-11-08 10h26.11.248723 +0530,
4,0,4,0,,,,,8.311074458062649,,,,,,,,,,8.302562583005056,pre_test,stimuli/right30_test_sound,8.317500082721624,8.802564583020285,8.802564583020285,9.560305416001938,z,0,0.7525922909844667,None,,,,,,,,,,,,,,864318,001,2024-11-08_10h26.04.388,experiment,2024.1.5,None,2024-11-08 10h26.11.248723 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.560748375020921,9.570621500024572,11.567581166047603,11.55732754105702,,,,,,,,,,864318,001,2024-11-08_10h26.04.388,experiment,2024.1.5,None,2024-11-08 10h26.11.248723 +0530,
,,,,0,0,0,0,11.567581166047603,,,,,,,,,,,post_test,stimuli/Left90_test_sound,,,,,,,,,,,,,11.55832458299119,11.573665457723353,12.05827625002712,12.05827625002712,13.193989791092463,x,0,1.128393708029762,None,864318,001,2024-11-08_10h26.04.388,experiment,2024.1.5,None,2024-11-08 10h26.11.248723 +0530,
,,,,1,0,1,0,13.203650541021489,,,,,,,,,,,post_test,stimuli/Left30_test_sound,,,,,,,,,,,,,13.194670375087298,13.209521791726972,13.693492375081405,13.693492375081405,14.026256666053087,c,0,0.3247671250719577,None,864318,001,2024-11-08_10h26.04.388,experiment,2024.1.5,None,2024-11-08 10h26.11.248723 +0530,
,,,,2,0,2,0,14.036362749990076,,,,,,,,,,,post_test,stimuli/right90_test_sound,,,,,,,,,,,,,14.026851875009015,14.041593207690555,14.551635208074003,14.551635208074003,15.24566108302679,x,0,0.6832840839633718,None,864318,001,2024-11-08_10h26.04.388,experiment,2024.1.5,None,2024-11-08 10h26.11.248723 +0530,
,,,,3,0,3,0,15.267631208058447,,,,,,,,,,,post_test,stimuli/right90_test_sound,,,,,,,,,,,,,15.246202416019514,15.261476082672987,15.743251125095412,15.743251125095412,18.496591666014865,c,0,2.741787791950628,None,864318,001,2024-11-08_10h26.04.388,experiment,2024.1.5,None,2024-11-08 10h26.11.248723 +0530,
,,,,,,,,18.5041758751031,,,,,,,,,,,post_test,stimuli/right90_test_sound,,,,,,,,,,,,,18.49714379105717,18.5124804167465,18.993305208045058,18.993305208045058,,,,,,,,,,,,,
