13.9723 	INFO 	Loaded monitor calibration from ['2024_08_09 13:47']
13.9848 	WARNING 	User requested fullscreen with size [1920 1080], but screen is actually [1440, 900]. Using actual size
14.2515 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x7fcd2c72d670>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x7fcd2c72d610>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x7fcd2c72d130>, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7fcd2ca9dfa0>, multiSample=False, name='window1', numSamples=2, pos=[360.0, 225.0], screen=0, size=array([2880, 1800]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
14.2516 	EXP 	window1: backgroundImage = ''
14.2516 	EXP 	window1: backgroundFit = 'none'
14.2518 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x7fcd2c72d760>
14.2521 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x7fcd2c72d760>
14.2555 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x7fcd2c72d760>
14.2564 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x7fcd2c72d760>
14.3097 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x7fcd2c72d760>
14.3099 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x7fcd2c72d760>
14.3108 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x7fcd2c72d760>
14.3116 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x7fcd2c72d760>
14.3321 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
14.3321 	EXP 	window1: recordFrameIntervals = False
14.5298 	EXP 	window1: recordFrameIntervals = True
14.8560 	EXP 	Screen (0) actual frame rate measured at 120.43Hz
14.8560 	EXP 	window1: recordFrameIntervals = False
14.8570 	EXP 	window1: mouseVisible = False
17.3201 	INFO 	keyboard.Keyboard is using iohub backend.
17.3202 	INFO 	keyboard.Keyboard is using iohub backend.
17.3214 	INFO 	keyboard.Keyboard is using iohub backend.
17.3215 	INFO 	keyboard.Keyboard is using iohub backend.
17.3216 	INFO 	keyboard.Keyboard is using iohub backend.
17.3217 	EXP 	experiment: status = STARTED
17.3223 	EXP 	window1: mouseVisible = False
17.3737 	EXP 	Created text_norm = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='text_norm', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='norm', win=Window(...), wrapWidth=1.8)
17.3740 	EXP 	window1: mouseVisible = False
17.3775 	EXP 	Created fixation = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-1.0, draggable=False, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='fixation', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.05, 0.05]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
17.4419 	EXP 	Sound sound_1 set volume 1.000
17.4422 	EXP 	window1: mouseVisible = False
17.4689 	EXP 	Created image = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-3.0, draggable=False, flipHoriz=False, flipVert=False, image='response.PNG', interpolate=True, mask=None, maskParams=None, name='image', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([1.2, 0.7]), texRes=128.0, units='height', win=Window(...))
17.4690 	EXP 	window1: mouseVisible = False
17.4769 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='thank you for particpating.', units='height', win=Window(...), wrapWidth=1)
17.4770 	EXP 	window1: mouseVisible = False
17.4801 	EXP 	Created fixation_2 = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-1.0, draggable=False, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='fixation_2', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.05, 0.05]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
17.4812 	EXP 	Sound sound_3 set volume 1.000
17.4813 	EXP 	window1: mouseVisible = False
17.4928 	EXP 	Created image_3 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-3.0, draggable=False, flipHoriz=False, flipVert=False, image='response.PNG', interpolate=True, mask=None, maskParams=None, name='image_3', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([1.2, 0.7]), texRes=128.0, units='height', win=Window(...))
17.4929 	EXP 	window1: mouseVisible = False
17.4939 	EXP 	Created text_2 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_2', opacity=1.0, ori=0.0, pos=array([0. , 0.4]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
17.4940 	EXP 	window1: mouseVisible = False
17.5005 	EXP 	Created image_4 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, draggable=False, flipHoriz=False, flipVert=False, image='default.png', interpolate=True, mask=None, maskParams=None, name='image_4', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([1.2, 0.7]), texRes=128.0, units='height', win=Window(...))
17.5006 	EXP 	window1: mouseVisible = False
17.5037 	EXP 	Created fixation_posttest = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-1.0, draggable=False, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='fixation_posttest', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.05, 0.05]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
17.5046 	EXP 	Sound sound_2 set volume 1.000
17.5047 	EXP 	window1: mouseVisible = False
17.5153 	EXP 	Created image_2 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-3.0, draggable=False, flipHoriz=False, flipVert=False, image='response.PNG', interpolate=True, mask=None, maskParams=None, name='image_2', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([1.2, 0.7]), texRes=128.0, units='height', win=Window(...))
0.0118 	EXP 	text_norm: alignText = 'left'
0.0286 	INFO 	Keyboard events cleared
0.0283 	EXP 	text_norm: autoDraw = True
0.0283 	EXP 	text_norm: height = 0.1
0.0283 	EXP 	text_norm: height = 0.1
0.0283 	EXP 	text_norm: height = 0.1
0.0283 	EXP 	text_norm: text = 'Welcome to the experiment.\n\nPress the spacebar to continue'
0.8249 	EXP 	Imported sounds_log.csv as conditions, 12 conditions, 3 params
0.8257 	EXP 	Created sequence: random, trialTypes=12, nReps=1, seed=None
0.8260 	EXP 	New trial (rep=0, index=0): OrderedDict([('sound_file_name', 'final_white_noise_30_right.wav'), ('Angle', 30), ('Channel', 'Right')])
0.8481 	DATA 	Keypress: space
0.8542 	EXP 	text_norm: autoDraw = False
0.8542 	EXP 	fixation: autoDraw = True
1.3245 	EXP 	Sound sound_1 started
1.3478 	EXP 	fixation: autoDraw = False
1.7843 	EXP 	Sound sound_1 reached end of file
1.7844 	EXP 	Sound sound_1 reached end of file
1.8192 	INFO 	Keyboard events cleared
1.8187 	EXP 	image: autoDraw = True
3.2967 	DATA 	Keypress: v
3.3048 	EXP 	New trial (rep=0, index=1): OrderedDict([('sound_file_name', 'final_white_noise_0_left.wav'), ('Angle', 0), ('Channel', 'Left')])
3.3137 	EXP 	fixation: autoDraw = False
3.3137 	EXP 	image: autoDraw = False
3.3137 	EXP 	fixation: autoDraw = True
3.8075 	EXP 	Sound sound_1 started
3.8080 	EXP 	fixation: autoDraw = False
4.2672 	EXP 	Sound sound_1 reached end of file
