trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,load_variables.started,load_variables.stopped,Welcome.started,key_instruct.started,Welcome.stopped,key_instruct.keys,key_instruct.rt,key_instruct.duration,pretest.started,trial_type,sound,fixation.started,sound_1.started,fixation.stopped,image.started,pretest_response.started,pretest.stopped,pretest_response.keys,pretest_response.corr,pretest_response.rt,pretest_response.duration,training.started,text.started,text.stopped,training.stopped,training_block.started,fixation_2.started,fixation_2.stopped,sound_3.started,image_3.started,training_response.started,training_block.stopped,training_response.keys,training_response.corr,training_response.rt,training_response.duration,feedback.started,text_2.started,image_4.started,feedback.stopped,test.started,fixation_posttest.started,sound_2.started,fixation_posttest.stopped,image_2.started,posttest_response.started,test.stopped,posttest_response.keys,posttest_response.corr,posttest_response.rt,posttest_response.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,0.033989874995313585,0.03473299997858703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,feedback,001,2024-11-08_19h26.40.351,experiment,2024.1.5,None,2024-11-08 19h26.55.680055 +0530,
,,,,,,,,,,,,,,,,0.03476237505674362,0.05161299998871982,1.6855550420004874,space,1.579597208998166,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,feedback,001,2024-11-08_19h26.40.351,experiment,2024.1.5,None,2024-11-08 19h26.55.680055 +0530,
0,0,0,0,,,,,,,,,1.8076730000320822,,,,,,,,,,1.688447167049162,pre_test,stimuli/right90_test_sound,1.8076730000320822,2.1887346256446714,2.3053124169819057,2.680257666972466,2.680257666972466,8.433420334011316,b,1,5.747339499997906,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,feedback,001,2024-11-08_19h26.40.351,experiment,2024.1.5,None,2024-11-08 19h26.55.680055 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.434122834005393,8.44531433400698,10.4397348749917,10.431852250010706,,,,,,,,,,,,,,,,,,,,,,,,,,,feedback,001,2024-11-08_19h26.40.351,experiment,2024.1.5,None,2024-11-08 19h26.55.680055 +0530,
,,,,0,0,0,0,,,,,10.4397348749917,,,,,,,,,,,training,stimuli/Left30_white_noise.wav,,,,,,,,,,,,,,,10.432735292008147,10.4397348749917,10.92880412505474,10.938975458677549,11.428869334049523,11.428869334049523,14.543282374972478,b,0,3.108096249983646,None,14.543817750061862,14.827289375010878,14.827289375010878,17.0491315840045,,,,,,,,,,,,feedback,001,2024-11-08_19h26.40.351,experiment,2024.1.5,None,2024-11-08 19h26.55.680055 +0530,
,,,,1,0,1,0,,,,,17.05569133395329,,,,,,,,,,,training,stimuli/Left90_white_noise.wav,,,,,,,,,,,,,,,17.04937233403325,17.05569133395329,17.545345750055276,17.546352208654085,18.03947625006549,18.03947625006549,21.350690750055946,x,0,3.3096443329704925,None,21.35106145904865,21.38755966699682,21.38755966699682,23.858905749977566,,,,,,,,,,,,feedback,001,2024-11-08_19h26.40.351,experiment,2024.1.5,None,2024-11-08 19h26.55.680055 +0530,
,,,,2,0,2,0,,,,,23.864131959038787,,,,,,,,,,,training,stimuli/Left30_white_noise.wav,,,,,,,,,,,,,,,23.859159374958836,23.864131959038787,24.36240316706244,24.35616691672864,24.846143167000264,24.846143167000264,41.367662459029816,x,1,16.519570665899664,None,41.36838237498887,41.41339224996045,41.41339224996045,43.876114291953854,,,,,,,,,,,,feedback,001,2024-11-08_19h26.40.351,experiment,2024.1.5,None,2024-11-08 19h26.55.680055 +0530,
,,,,3,0,3,0,,,,,43.88405954197515,,,,,,,,,,,training,stimuli/Left90_white_noise.wav,,,,,,,,,,,,,,,43.876420916989446,43.88405954197515,44.37930479203351,44.37335387565351,44.86320241703652,44.86320241703652,45.49432075000368,z,1,0.6258254579734057,None,45.49472904205322,45.53072699997574,45.53072699997574,47.99992979201488,,,,,,,,,,,,feedback,001,2024-11-08_19h26.40.351,experiment,2024.1.5,None,2024-11-08 19h26.55.680055 +0530,
,,,,4,0,4,0,,,,,48.006544500007294,,,,,,,,,,,training,stimuli/Left30_white_noise.wav,,,,,,,,,,,,,,,48.000194958993234,48.006544500007294,48.49644212506246,48.49684854172325,48.99036937498022,48.99036937498022,50.685541499988176,c,0,1.6864597919629887,None,50.6859062500298,50.720023249974474,50.720023249974474,53.19293570902664,,,,,,,,,,,,feedback,001,2024-11-08_19h26.40.351,experiment,2024.1.5,None,2024-11-08 19h26.55.680055 +0530,
,,,,,,,,0,0,0,0,53.20049920899328,,,,,,,,,,,post_test,stimuli/Left90_test_sound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.19384333398193,53.20049920899328,53.69041733368455,53.69617420900613,54.18038983398583,54.18038983398583,55.2275663750479,v,0,1.0405933330766857,None,feedback,001,2024-11-08_19h26.40.351,experiment,2024.1.5,None,2024-11-08 19h26.55.680055 +0530,
