trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,load_variables.started,load_variables.stopped,Welcome.started,key_instruct.started,Welcome.stopped,key_instruct.keys,key_instruct.rt,key_instruct.duration,pretest.started,trial_type,sound,fixation.started,sound_1.started,fixation.stopped,image.started,pretest_response.started,pretest.stopped,pretest_response.keys,pretest_response.corr,pretest_response.rt,pretest_response.duration,training.started,text.started,text.stopped,training.stopped,training_block.started,fixation_2.started,sound_3.started,fixation_2.stopped,image_3.started,training_response.started,training_block.stopped,training_response.keys,training_response.corr,training_response.rt,training_response.duration,feedback.started,text_2.started,image_4.started,feedback.stopped,test.started,fixation_posttest.started,sound_2.started,fixation_posttest.stopped,image_2.started,posttest_response.started,test.stopped,posttest_response.keys,posttest_response.corr,posttest_response.rt,posttest_response.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,0.013343916973099113,0.014089041971601546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hehe,001,2024-11-08_19h31.39.524,experiment,2024.1.5,None,2024-11-08 19h31.52.455144 +0530,
,,,,,,,,,,,,,,,,0.01411487499717623,0.029117541969753802,0.6868894168874249,space,0.6207296670181677,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hehe,001,2024-11-08_19h31.39.524,experiment,2024.1.5,None,2024-11-08 19h31.52.455144 +0530,
0,0,0,0,,,,,,,,,0.7205022079870105,,,,,,,,,,0.6880795418983325,pre_test,stimuli/right30_test_sound,0.7205022079870105,1.1954941666374603,1.216447874903679,1.6814262078842148,1.6814262078842148,2.948420291999355,x,0,1.2530287080444396,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hehe,001,2024-11-08_19h31.39.524,experiment,2024.1.5,None,2024-11-08 19h31.52.455144 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.949020916945301,2.9574895829427987,4.954595374991186,4.946170582901686,,,,,,,,,,,,,,,,,,,,,,,,,,,hehe,001,2024-11-08_19h31.39.524,experiment,2024.1.5,None,2024-11-08 19h31.52.455144 +0530,
,,,,0,0,0,0,,,,,4.954595374991186,,,,,,,,,,,training,stimuli/Left30_white_noise.wav,,,,,,,,,,,,,,,4.947511582984589,4.954595374991186,5.450631416581261,5.449482874944806,5.945322332903743,5.945322332903743,6.321576124988496,c,0,0.36806354101281613,None,6.32210024993401,6.365547582972795,6.365547582972795,8.829396207933314,,,,,,,,,,,,hehe,001,2024-11-08_19h31.39.524,experiment,2024.1.5,None,2024-11-08 19h31.52.455144 +0530,
,,,,1,0,1,0,,,,,8.837521999957971,,,,,,,,,,,training,stimuli/Left90_white_noise.wav,,,,,,,,,,,,,,,8.829984999960288,8.837521999957971,9.328173916616167,9.333031374961138,9.817794791888446,9.817794791888446,10.764671999961138,v,0,0.9409913329873234,None,10.765049666981213,10.806877999915741,10.806877999915741,13.268758166930638,,,,,,,,,,,,hehe,001,2024-11-08_19h31.39.524,experiment,2024.1.5,None,2024-11-08 19h31.52.455144 +0530,
,,,,2,0,2,0,,,,,13.278569874935783,,,,,,,,,,,training,stimuli/Left30_white_noise.wav,,,,,,,,,,,,,,,13.269078957964666,13.278569874935783,13.768418291645746,13.769299291889183,14.26240558293648,14.26240558293648,14.670542124891654,z,0,0.4025837080553174,None,14.670925832935609,14.707581624970771,14.707581624970771,17.178582416963764,,,,,,,,,,,,hehe,001,2024-11-08_19h31.39.524,experiment,2024.1.5,None,2024-11-08 19h31.52.455144 +0530,
,,,,3,0,3,0,,,,,17.18461395788472,,,,,,,,,,,training,stimuli/right30_white_noise.wav,,,,,,,,,,,,,,,17.178862124914303,17.18461395788472,17.679430749562258,17.67885387490969,18.16264366696123,18.16264366696123,23.490496999933384,b,0,5.317682332941331,None,23.490871041896753,23.523696499993093,23.523696499993093,25.99559424992185,,,,,,,,,,,,hehe,001,2024-11-08_19h31.39.524,experiment,2024.1.5,None,2024-11-08 19h31.52.455144 +0530,
,,,,4,0,4,0,,,,,26.00446516694501,,,,,,,,,,,training,stimuli/right30_white_noise.wav,,,,,,,,,,,,,,,25.996186832897365,26.00446516694501,26.496353833648996,26.500699624884874,26.97983674996067,26.97983674996067,28.698350374936126,z,0,1.7122478330275044,None,28.699325166991912,28.728533082990907,28.728533082990907,31.202670666971244,,,,,,,,,,,,hehe,001,2024-11-08_19h31.39.524,experiment,2024.1.5,None,2024-11-08 19h31.52.455144 +0530,
,,,,,,,,0,0,0,0,31.21268183295615,,,,,,,,,,,post_test,stimuli/Left90_test_sound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.20361620793119,31.21268183295615,31.702134833616824,31.702029374893755,32.19643658294808,32.19643658294808,32.58033924992196,c,0,0.37479554198216647,None,hehe,001,2024-11-08_19h31.39.524,experiment,2024.1.5,None,2024-11-08 19h31.52.455144 +0530,
