13.6612 	INFO 	Loaded monitor calibration from ['2024_08_09 13:47']
13.6741 	WARNING 	User requested fullscreen with size [1920 1080], but screen is actually [1440, 900]. Using actual size
14.0206 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x7ff3ba32a190>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x7ff3ba32a100>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x7ff3ad41bfa0>, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7ff3ac54eaf0>, multiSample=False, name='window1', numSamples=2, pos=[360.0, 225.0], screen=0, size=array([2880, 1800]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
14.0206 	EXP 	window1: backgroundImage = ''
14.0207 	EXP 	window1: backgroundFit = 'none'
14.0209 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x7ff3ba32a2b0>
14.0212 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x7ff3ba32a2b0>
14.0250 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x7ff3ba32a2b0>
14.0259 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x7ff3ba32a2b0>
14.0854 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x7ff3ba32a2b0>
14.0856 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x7ff3ba32a2b0>
14.0865 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x7ff3ba32a2b0>
14.0873 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x7ff3ba32a2b0>
14.1077 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
14.1077 	EXP 	window1: recordFrameIntervals = False
14.3269 	EXP 	window1: recordFrameIntervals = True
14.6933 	EXP 	Screen (0) actual frame rate measured at 120.81Hz
14.6933 	EXP 	window1: recordFrameIntervals = False
14.6958 	EXP 	window1: mouseVisible = False
17.1875 	INFO 	keyboard.Keyboard is using iohub backend.
17.1876 	INFO 	keyboard.Keyboard is using iohub backend.
17.1888 	INFO 	keyboard.Keyboard is using iohub backend.
17.1889 	INFO 	keyboard.Keyboard is using iohub backend.
17.1891 	INFO 	keyboard.Keyboard is using iohub backend.
17.1891 	EXP 	experiment: status = STARTED
17.1900 	EXP 	window1: mouseVisible = False
