trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,load_variables.started,load_variables.stopped,Welcome.started,key_instruct.started,Welcome.stopped,key_instruct.keys,key_instruct.rt,key_instruct.duration,pretest.started,trial_type,sound,fixation.started,sound_1.started,fixation.stopped,image.started,pretest_response.started,pretest.stopped,pretest_response.keys,pretest_response.corr,pretest_response.rt,pretest_response.duration,training_block.started,fixation_2.started,sound_3.started,fixation_2.stopped,image_3.started,pretest_response_2.started,training_block.stopped,pretest_response_2.keys,pretest_response_2.corr,pretest_response_2.rt,pretest_response_2.duration,training.started,text.started,text.stopped,training.stopped,test.started,fixation_posttest.started,sound_2.started,fixation_posttest.stopped,image_2.started,posttest_response.started,test.stopped,posttest_response.keys,posttest_response.corr,posttest_response.rt,posttest_response.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,0.014225833001546562,0.015328624984249473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,training01,001,2024-11-08_18h20.53.599,experiment,2024.1.5,None,2024-11-08 18h21.17.801329 +0530,
,,,,,,,,,,,,0.015355208073742688,0.0306191670242697,2.5494554999750108,space,2.4914226250257343,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,training01,001,2024-11-08_18h20.53.599,experiment,2024.1.5,None,2024-11-08 18h21.17.801329 +0530,
0,0,0,0,,,,,2.591140875010751,,,,,,,,,,2.552653833059594,pre_test,stimuli/Left90_test_sound,2.591140875010751,3.0539070836423585,3.0874680830165744,3.5444373750360683,3.5444373750360683,4.8965714579680935,z,1,1.3448576659429818,None,,,,,,,,,,,,,,,,,,,,,,,,,,,training01,001,2024-11-08_18h20.53.599,experiment,2024.1.5,None,2024-11-08 18h21.17.801329 +0530,
1,0,1,0,,,,,4.9077569170622155,,,,,,,,,,4.897319458075799,pre_test,stimuli/right90_test_sound,4.9077569170622155,5.4044275417147825,5.40459087502677,5.888852500007488,5.888852500007488,8.963047583005391,b,1,3.0661380829988047,None,,,,,,,,,,,,,,,,,,,,,,,,,,,training01,001,2024-11-08_18h20.53.599,experiment,2024.1.5,None,2024-11-08 18h21.17.801329 +0530,
2,0,2,0,,,,,8.972733124974184,,,,,,,,,,8.963643833063543,pre_test,stimuli/right90_test_sound,8.972733124974184,9.471153458642464,9.471064917044714,9.955540250055492,9.955540250055492,11.14421904203482,b,1,1.1663293330930173,None,,,,,,,,,,,,,,,,,,,,,,,,,,,training01,001,2024-11-08_18h20.53.599,experiment,2024.1.5,None,2024-11-08 18h21.17.801329 +0530,
3,0,3,0,,,,,11.154096042038873,,,,,,,,,,11.144770791986957,pre_test,stimuli/Left90_test_sound,11.154096042038873,11.654357166673678,11.64185354206711,12.137393958051689,12.137393958051689,12.696797542041168,z,1,0.5517468749312684,None,,,,,,,,,,,,,,,,,,,,,,,,,,,training01,001,2024-11-08_18h20.53.599,experiment,2024.1.5,None,2024-11-08 18h21.17.801329 +0530,
4,0,4,0,,,,,12.70605074998457,,,,,,,,,,12.697311375057325,pre_test,stimuli/Left90_test_sound,12.70605074998457,13.204522499643888,13.204479417065158,13.68740587506909,13.68740587506909,14.673438125057146,z,1,0.981058583012782,None,,,,,,,,,,,,,,,,,,,,,,,,,,,training01,001,2024-11-08_18h20.53.599,experiment,2024.1.5,None,2024-11-08 18h21.17.801329 +0530,
,,,,,,,,,,,,,,,,,,,training,stimuli/Left30_white_noise.wav,,,,,,,,,,,14.67397812497802,14.682906624977477,15.179104541723307,15.176903125015087,15.671482458012179,15.671482458012179,16.288618125021458,z,0,0.612946082954295,None,,,,,,,,,,,,,,,,training01,001,2024-11-08_18h20.53.599,experiment,2024.1.5,None,2024-11-08 18h21.17.801329 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.288650625036098,16.296324457973242,18.29836304206401,18.28870100004133,,,,,,,,,,,,training01,001,2024-11-08_18h20.53.599,experiment,2024.1.5,None,2024-11-08 18h21.17.801329 +0530,
,,,,0,0,0,0,18.29836304206401,,,,,,,,,,,post_test,stimuli/Left30_test_sound,,,,,,,,,,,,,,,,,,,,,,,,,,18.289340542047285,18.29836304206401,18.788361749673882,18.7925818329677,19.279598457971588,19.279598457971588,19.906461792066693,z,0,0.6174656249349937,None,training01,001,2024-11-08_18h20.53.599,experiment,2024.1.5,None,2024-11-08 18h21.17.801329 +0530,
