13.4669 	INFO 	Loaded monitor calibration from ['2024_08_09 13:47']
13.4805 	WARNING 	User requested fullscreen with size [1920 1080], but screen is actually [1440, 900]. Using actual size
13.7433 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x7fe191505520>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x7fe1915054c0>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x7fe1915052e0>, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7fe1a2256e20>, multiSample=False, name='window1', numSamples=2, pos=[360.0, 225.0], screen=0, size=array([2880, 1800]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
13.7434 	EXP 	window1: backgroundImage = ''
13.7434 	EXP 	window1: backgroundFit = 'none'
13.7437 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x7fe191505640>
13.7440 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x7fe191505640>
13.7475 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x7fe191505640>
13.7484 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x7fe191505640>
13.7998 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x7fe191505640>
13.8000 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x7fe191505640>
13.8009 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x7fe191505640>
13.8017 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x7fe191505640>
13.8220 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
13.8220 	EXP 	window1: recordFrameIntervals = False
14.0190 	EXP 	window1: recordFrameIntervals = True
14.3100 	EXP 	Screen (0) actual frame rate measured at 120.24Hz
14.3100 	EXP 	window1: recordFrameIntervals = False
14.3113 	EXP 	window1: mouseVisible = False
17.0005 	INFO 	keyboard.Keyboard is using iohub backend.
17.0006 	INFO 	keyboard.Keyboard is using iohub backend.
17.0020 	INFO 	keyboard.Keyboard is using iohub backend.
17.0022 	INFO 	keyboard.Keyboard is using iohub backend.
17.0023 	INFO 	keyboard.Keyboard is using iohub backend.
17.0024 	EXP 	experiment: status = STARTED
17.0033 	EXP 	window1: mouseVisible = False
17.0574 	EXP 	Created text_norm = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='text_norm', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='norm', win=Window(...), wrapWidth=1.8)
17.0576 	EXP 	window1: mouseVisible = False
17.0612 	EXP 	Created fixation = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-1.0, draggable=False, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='fixation', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.05, 0.05]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
17.1251 	EXP 	Sound sound_1 set volume 1.000
